"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1220","test_autosuggestion_dropdown_method3[datacsv6]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","13840","test_autosuggestion_dropdown_naive","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1051","test_autosuggestion_dropdown_method3[datacsv2]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","797","test_autosuggestion_dropdown_method1[Aus-Australia]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1105","test_autosuggestion_dropdown_method2[dataset1]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","689","test_autosuggestion_dropdown_method3[datacsv4]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1279","test_autosuggestion_dropdown_method3[datacsv1]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","15730","test_interacting_textbox_and_buttons","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1130","test_autosuggestion_dropdown_method3[datacsv3]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","820","test_autosuggestion_dropdown_method1[Ind-India]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1505","test_autosuggestion_dropdown_method2[dataset0]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","410","test_initial","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1205","test_autosuggestion_dropdown_method3[datacsv5]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","742","test_autosuggestion_dropdown_method2[dataset6]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","960","test_autosuggestion_dropdown_method2[dataset7]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","768","test_autosuggestion_dropdown_method2[dataset11]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","933","test_autosuggestion_dropdown_method3[datacsv8]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","710","test_autosuggestion_dropdown_method2[dataset10]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","989","test_autosuggestion_dropdown_method2[dataset4]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","917","test_autosuggestion_dropdown_method2[dataset3]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","723","test_autosuggestion_dropdown_method1[Uni-United States of America]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","0","test_check_alert_message_content","tests","2025-12-30","skipped","2025-12-30","TestConcept","test_conceptDemo","",""
"","1155","test_autosuggestion_dropdown_method3[datacsv7]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1005","test_autosuggestion_dropdown_method2[dataset8]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1042","test_autosuggestion_dropdown_method2[dataset2]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","1139","test_autosuggestion_dropdown_method3[datacsv10]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","15583","test_autosuggestion_dropdown_method3[datacsv9]","tests","2025-12-30","broken","2025-12-30","TestConcept","test_conceptDemo","",""
"","719","test_autosuggestion_dropdown_method3[datacsv0]","tests","2025-12-30","failed","2025-12-30","TestConcept","test_conceptDemo","",""
"","760","test_autosuggestion_dropdown_method2[dataset9]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
"","993","test_autosuggestion_dropdown_method2[dataset5]","tests","2025-12-30","passed","2025-12-30","TestConcept","test_conceptDemo","",""
